,Time,Tcpu,Tw,Fan,Q,T_air
103,103.0,345.26309184745867,297.428226383802,0.030053616000000002,84.0,293.15
104,104.0,345.27634509403066,297.4295645038539,0.030053616000000002,84.0,293.15
105,105.0,345.2889528671581,297.4308374633607,0.030053616000000002,84.0,293.15
106,106.0,345.30094661209307,297.4320484357729,0.030053616000000002,84.0,293.15
107,107.0,345.31235621894973,297.4332004376854,0.030053616000000002,84.0,293.15
108,108.0,345.32321014256524,297.4342963409247,0.030053616000000002,84.0,293.15
109,109.0,345.33353543829895,297.43533887614456,0.030053616000000002,84.0,293.15
110,110.0,345.3433572065682,297.4363305767517,0.030053616000000002,84.0,293.15
111,111.0,345.3527006068553,297.4372739821794,0.030053616000000002,84.0,293.15
112,112.0,345.36158893931605,297.4381714442504,0.030053616000000002,84.0,293.15
113,113.0,345.37004436763567,297.439025200126,0.030053616000000002,84.0,293.15
114,114.0,345.37808797333713,297.4398373777803,0.030053616000000002,84.0,293.15
115,115.0,345.3857398136989,297.44061000184035,0.030053616000000002,84.0,293.15
116,116.0,345.39301896679024,297.4413449981269,0.030053616000000002,84.0,293.15
117,117.0,345.3999435864491,297.44204419919623,0.030053616000000002,84.0,293.15
118,118.0,345.4065309459237,297.44270934874487,0.030053616000000002,84.0,293.15
119,119.0,345.41279746098235,297.44334210393373,0.030053616000000002,84.0,293.15
120,120.0,345.4187587677072,297.4439440432412,0.030053616000000002,84.0,293.15
121,121.0,345.4244297282833,297.4445166670418,0.030053616000000002,84.0,293.15
122,122.0,345.42982448090504,297.4450614026396,0.030053616000000002,84.0,293.15
123,123.0,345.43495649253197,297.44557960959594,0.030053616000000002,84.0,293.15
124,124.0,345.4398385444781,297.4460725782676,0.030053616000000002,84.0,293.15
125,125.0,345.44448281704035,297.44654153834966,0.030053616000000002,84.0,293.15
126,126.0,345.448900896405,297.4469876595719,0.030053616000000002,84.0,293.15
127,127.0,345.4531037895967,297.44741205320315,0.030053616000000002,84.0,293.15
128,128.0,345.45710197655376,297.44781577730845,0.030053616000000002,84.0,293.15
129,129.0,345.46090544457394,297.4481998402278,0.030053616000000002,84.0,293.15
130,130.0,345.46452365482094,297.44856519718724,0.030053616000000002,84.0,293.15
131,131.0,345.4679656455878,297.44891276073093,0.030053616000000002,84.0,293.15
132,132.0,345.4712399864299,297.4492433960801,0.030053616000000002,84.0,293.15
133,133.0,345.4743548342874,297.4495579268052,0.030053616000000002,84.0,293.15
134,134.0,345.4773179680455,297.44985713831534,0.030053616000000002,84.0,293.15
135,135.0,345.4801367724307,297.45014177622227,0.030053616000000002,84.0,293.15
136,136.0,345.4828182870619,297.4504125513044,0.030053616000000002,84.0,293.15
137,137.0,345.48536918064207,297.45067013688737,0.030053616000000002,84.0,293.15
138,138.0,345.487795817109,297.45091517553317,0.030053616000000002,84.0,293.15
139,139.0,345.4901042623406,297.45114827971497,0.030053616000000002,84.0,293.15
140,140.0,345.4923002371924,297.4513700270686,0.030053616000000002,84.0,293.15
